user_id,youtube_username,picture_url,scenes_id,scenes_name,video_schedule_id,video_published_id,video_title,twitter_response_id,facebook_response,fb_like,tw_like,yt_like,total_likes,fb_numeric_id,twitter_numeric_id
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",74,9RiQL9uOUco,hi,902524386141507584,153031865276425,,1,,1,113478145898464,865171357801172992
,,,1,"first scenes",1,Anuj1x7QLvY,,,,,,,0,1517171801687834,171396247
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",27,pwCPFw-Ff8M,Test,,,,,,0,113478145898464,865171357801172992
18,"AHIC Karhal",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",21,JPn_Uz5qZlg,"top Institute in delhi",,,,,0,0,,
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",53,kUdER9FaC2Q,Tesr,902464323548733495,125805414665737,,,,0,113478145898464,865171357801172992
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",9,QBbQ9MbbG-8,test,,,,,,0,113478145898464,865171357801172992
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",49,E4By_Kf2CKc,test,,,,,,0,113478145898464,865171357801172992
,,,1,"first scenes",7,Qi6CZRFSQ0w,"Test Title",,,,,,0,,4339234994
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",42,8S9hvBbX4KQ,test2,,125281568051455,,,,0,113478145898464,865171357801172992
18,"AHIC Karhal",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",22,43iI7RHIw14,"hello testing",,,,,0,0,,
27,"Dave Room",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",62,qI56JnANSCs,"Schosys Rocks",902464323548789441,300548280414132,,,0,0,249787742156853,897968388344922112
13,"Abdul Muttalib",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",15,KyVL-7Od5bo,Demo,,,,,0,0,1356181851127013,
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",51,G1YlIkZ-O5Q,Tes,902464323548833467,125803347999277,,,,0,113478145898464,865171357801172992
10,"Chase Manar-Spears",https://lh3.googleusercontent.com/-pSBJFBvPHfY/AAAAAAAAAAI/AAAAAAAAA7w/ItCDKN_Sxis/photo.jpg,1,"first scenes",8,y37npilGY1A,test_title,,,,,,0,1291767840872469,130880811
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,1,"first scenes",47,uvPlW72DXXs,test2,,125778958001716,,,,0,113478145898464,865171357801172992
