user_id,youtube_username,picture_url,scenes_id,scenes_name,video_schedule_id,video_published_id,video_title,twitter_response_id,facebook_response,fb_like,tw_like,yt_like,total_likes,fb_view,yt_view,total_view,fb_numeric_id,twitter_numeric_id
27,"Dave Room",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,3,"Dance Floor",64,bK-Yl2BAKfU,"Checkout This video for comptetion",902464323584733441,300565973745696,,,,0,,,0,,897968388344922112
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,3,"Dance Floor",104,qL54aRk3OTI,test,,,,,0,0,,0,0,155938808319064,865171357801172992
7,"Dave Room (Melia's Papa)",https://lh4.googleusercontent.com/-L1fRKa-f-lE/AAAAAAAAAAI/AAAAAAAAB6U/IeHIrqy9ic4/photo.jpg,3,"Dance Floor",66,dudpb_jFRHo,"The Connected Dance Challenge ",,10155718117714225,,,,0,,,0,10155325996319225,269860573
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,3,"Dance Floor",107,v2JJdzjqpME,"Great video",,,,,,0,,,0,315018915633735,848628872119820291
7,"Dave Room (Melia's Papa)",https://lh4.googleusercontent.com/-L1fRKa-f-lE/AAAAAAAAAAI/AAAAAAAAB6U/IeHIrqy9ic4/photo.jpg,3,"Dance Floor",68,jJWPj0C2WWc,"My new vid",902464323548749441,10155718135764225,,,,0,,,0,10155325996319225,269860573
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,3,"Dance Floor",109,ofzyeqskY-A,"Happy moments",,,,,,0,,,0,315018915633735,848628872119820291
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,3,"Dance Floor",71,3PlmMfO1hX8,"Social Dance Challenge",,300963647039262,,,,0,,,0,315018915633735,848628872119820291
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,3,"Dance Floor",117,QuNSShq9ccA,"My dance video",,316812755454351,,,0,0,,0,0,315018915633735,848628872119820291
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,3,"Dance Floor",88,Z30VK50KCWI,"My video",,,,,,0,,,0,315018915633735,848628872119820291
32,"ex papers",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,3,"Dance Floor",119,d6v1xmX53Pw,wow,,,,,0,0,,0,0,155938808319064,865171357801172992
24,"Programming Tutorials",https://lh3.googleusercontent.com/-q1Smh9d8d0g/AAAAAAAAAAM/AAAAAAAAAAA/3YaY0XeTIPc/photo.jpg,3,"Dance Floor",93,SVMobZOfzTQ,"Creative Ad by Saifu",,,,,0,0,,0,0,,
32,"ex papers",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,3,"Dance Floor",122,QsxhEGsNCRY,test,,,,,,0,,,0,155938808319064,865171357801172992
23,"Rashid Alig",https://lh4.googleusercontent.com/-amT6QxvgaJ0/AAAAAAAAAAI/AAAAAAAABt4/u-4eJZirlaI/photo.jpg,3,"Dance Floor",96,mU3YlDWyiJM,wow,,,,,0,0,,0,0,10210662038481480,4339234994
